Question,Option_A,Option_B,Option_C,Correct_Answer,Subject
Сколько будет 7 × 8?,54,56,64,B,Математика
Реши пример: 45 + 17,62,52,63,A,Математика
Сколько будет 81 ÷ 9?,7,8,9,C,Математика
"У Пети 5 яблок, у Маши в 3 раза больше. Сколько у Маши?",8,15,20,B,Математика
Вычисли: 100 – 43,57,67,47,A,Математика
Какое число идет сразу после 399?,398,401,400,C,Математика
Сколько будет 6 × 9?,54,56,45,A,Математика
Чему равна половина от числа 50?,20,25,30,B,Математика
Реши пример: 32 + 48,70,90,80,C,Математика
"Если 5 умножить на 0, получится:",5,0,50,B,Математика
Вставь пропущенную букву: м...локо,а,о,е,B,Русский язык
Какая буква пишется в слове: ж...раф?,и,ы,е,A,Русский язык
Вставь пропущенную букву: с...бака,а,о,у,B,Русский язык
Какая буква нужна в слове: ч...до?,ю,у,о,B,Русский язык
Какое слово написано с ошибкой?,Машина,Шишка,Жывот,C,Русский язык
Вставь пропущенную букву: со...нце,л,р,буква не нужна,A,Русский язык
"Какое проверочное слово к слову ""тр...ва""?",травушка,травы,травинка,B,Русский язык
Вставь пропущенную букву: ябл...ко,а,о,и,B,Русский язык
Какое слово написано правильно?,Чуство,Чувство,Чювство,B,Русский язык
Какое из этих слов означает действие (глагол)?,Бег,Бегать,Быстрый,B,Русский язык
Сколько будет 6 × 7?,42,48,36,A,Математика
Реши: 15 + 24,49,39,29,B,Математика
Сколько будет 36 ÷ 6?,7,8,6,C,Математика
В 1 часе сколько минут?,100,60,50,B,Математика
Вычисли: 8 × 8,64,56,72,A,Математика
"У Маши 12 конфет, она съела 4. Сколько осталось?",7,9,8,C,Математика
Реши: 50 – 18,32,42,22,A,Математика
Сколько будет 27 ÷ 3?,8,9,7,B,Математика
4 × 9 = ?,32,34,36,C,Математика
Вычисли: 100 – 55,45,55,35,A,Математика
Какое число больше: 405 или 450?,405,450,Они равны,B,Математика
Сколько будет 5 × 7?,30,45,35,C,Математика
Реши: 80 + 15,95,85,105,A,Математика
1 метр — это сколько сантиметров?,10,100,1000,B,Математика
Сколько будет 48 ÷ 8?,5,7,6,C,Математика
Вычисли: 3 × 9,27,24,36,A,Математика
В коробке 5 рядов по 6 конфет. Сколько всего?,11,30,25,B,Математика
Реши: 64 ÷ 8,7,9,8,C,Математика
Увеличь 15 на 10,25,5,150,A,Математика
